,date,instrument,avg_volume
474,2023-09-12,44200_PE,31340.0
475,2023-09-13,44200_PE,79088.0
476,2023-09-07,44300_CE,78282.0
477,2023-09-08,44300_CE,2790.0
478,2023-09-11,44300_CE,378.0
479,2023-09-12,44300_CE,366.0
480,2023-09-13,44300_CE,690.0
481,2023-09-07,44300_PE,139184.0
482,2023-09-08,44300_PE,67687.0
483,2023-09-11,44300_PE,31878.0
484,2023-09-12,44300_PE,32736.0
485,2023-09-13,44300_PE,91833.0
486,2023-09-07,44400_CE,167413.0
487,2023-09-08,44400_CE,7851.0
488,2023-09-11,44400_CE,616.0
489,2023-09-12,44400_CE,492.0
490,2023-09-13,44400_CE,2294.0
491,2023-09-07,44400_PE,210215.0
492,2023-09-08,44400_PE,88201.0
493,2023-09-11,44400_PE,45564.0
494,2023-09-12,44400_PE,45369.0
495,2023-09-13,44400_PE,106881.0
496,2023-09-08,44500_CE,27014.0
497,2023-09-11,44500_CE,2843.0
498,2023-09-12,44500_CE,1264.0
499,2023-09-13,44500_CE,1637.0
500,2023-09-07,44500_PE,265060.0
501,2023-09-08,44500_PE,138420.0
502,2023-09-11,44500_PE,71307.0
503,2023-09-12,44500_PE,112224.0
504,2023-09-13,44500_PE,234476.0
505,2023-09-07,44600_CE,219882.0
506,2023-09-08,44600_CE,25413.0
507,2023-09-11,44600_CE,2170.0
508,2023-09-12,44600_CE,759.0
509,2023-09-13,44600_CE,710.0
510,2023-09-07,44600_PE,167552.0
511,2023-09-08,44600_PE,113817.0
512,2023-09-11,44600_PE,49253.0
513,2023-09-12,44600_PE,70351.0
514,2023-09-13,44600_PE,123316.0
515,2023-09-07,44700_CE,188563.0
516,2023-09-08,44700_CE,57933.0
517,2023-09-11,44700_CE,2454.0
518,2023-09-12,44700_CE,907.0
519,2023-09-13,44700_CE,866.0
520,2023-09-07,44700_PE,126620.0
521,2023-09-08,44700_PE,129577.0
522,2023-09-11,44700_PE,61537.0
523,2023-09-12,44700_PE,85955.0
524,2023-09-13,44700_PE,180760.0
525,2023-09-07,44800_CE,171594.0
526,2023-09-08,44800_CE,131949.0
527,2023-09-11,44800_CE,6030.0
528,2023-09-12,44800_CE,1860.0
529,2023-09-13,44800_CE,1815.0
530,2023-09-07,44800_PE,81564.0
531,2023-09-08,44800_PE,193832.0
532,2023-09-11,44800_PE,73743.0
533,2023-09-12,44800_PE,105926.0
534,2023-09-13,44800_PE,226896.0
535,2023-09-07,44900_CE,126944.0
536,2023-09-08,44900_CE,193080.0
537,2023-09-11,44900_CE,14517.0
538,2023-09-12,44900_CE,3342.0
539,2023-09-13,44900_CE,3748.0
540,2023-09-07,44900_PE,40468.0
541,2023-09-08,44900_PE,222686.0
542,2023-09-11,44900_PE,84107.0
543,2023-09-12,44900_PE,109103.0
544,2023-09-13,44900_PE,260138.0
545,2023-09-07,45000_CE,180318.0
546,2023-09-08,45000_CE,331158.0
547,2023-09-11,45000_CE,68397.0
548,2023-09-12,45000_CE,27757.0
549,2023-09-13,45000_CE,26172.0
550,2023-09-07,45000_PE,34338.0
551,2023-09-08,45000_PE,289226.0
552,2023-09-11,45000_PE,171249.0
553,2023-09-12,45000_PE,235117.0
554,2023-09-13,45000_PE,586972.0
555,2023-09-07,45100_CE,80353.0
556,2023-09-08,45100_CE,249941.0
557,2023-09-11,45100_CE,73647.0
558,2023-09-12,45100_CE,21676.0
559,2023-09-13,45100_CE,30662.0
560,2023-09-07,45100_PE,6368.0
561,2023-09-08,45100_PE,174554.0
562,2023-09-11,45100_PE,131054.0
563,2023-09-12,45100_PE,208266.0
564,2023-09-13,45100_PE,482578.0
565,2023-09-07,45200_CE,78150.0
566,2023-09-08,45200_CE,288618.0
567,2023-09-11,45200_CE,154415.0
568,2023-09-12,45200_CE,62798.0
569,2023-09-13,45200_CE,85290.0
570,2023-09-07,45200_PE,3870.0
571,2023-09-08,45200_PE,158490.0
572,2023-09-11,45200_PE,183689.0
573,2023-09-12,45200_PE,276838.0
574,2023-09-13,45200_PE,613286.0
575,2023-09-07,45300_CE,75405.0
576,2023-09-08,45300_CE,227519.0
577,2023-09-11,45300_CE,308251.0
578,2023-09-12,45300_CE,145471.0
579,2023-09-13,45300_CE,195394.0
580,2023-09-07,45300_PE,1697.0
581,2023-09-08,45300_PE,88636.0
582,2023-09-11,45300_PE,257400.0
583,2023-09-12,45300_PE,343508.0
584,2023-09-13,45300_PE,756442.0
585,2023-09-07,45400_CE,56124.0
586,2023-09-08,45400_CE,161290.0
587,2023-09-11,45400_CE,344306.0
588,2023-09-12,45400_CE,269835.0
589,2023-09-13,45400_CE,407086.0
590,2023-09-07,45400_PE,929.0
591,2023-09-08,45400_PE,38935.0
592,2023-09-11,45400_PE,262009.0
593,2023-09-12,45400_PE,415780.0
594,2023-09-13,45400_PE,831244.0
595,2023-09-07,45500_CE,93721.0
596,2023-09-08,45500_CE,225838.0
597,2023-09-11,45500_CE,388224.0
598,2023-09-12,45500_CE,501181.0
599,2023-09-13,45500_CE,693636.0
600,2023-09-07,45500_PE,1443.0
601,2023-09-08,45500_PE,30104.0
602,2023-09-11,45500_PE,221843.0
603,2023-09-12,45500_PE,531136.0
604,2023-09-13,45500_PE,957912.0
605,2023-09-07,45600_CE,38881.0
606,2023-09-08,45600_CE,129557.0
607,2023-09-11,45600_CE,249934.0
608,2023-09-12,45600_CE,401790.0
609,2023-09-13,45600_CE,820725.0
610,2023-09-07,45600_PE,460.0
611,2023-09-08,45600_PE,6085.0
612,2023-09-11,45600_PE,93379.0
613,2023-09-12,45600_PE,340686.0
614,2023-09-13,45600_PE,929721.0
615,2023-09-07,45700_CE,39648.0
616,2023-09-08,45700_CE,107785.0
617,2023-09-11,45700_CE,207835.0
618,2023-09-12,45700_CE,377600.0
619,2023-09-13,45700_CE,1171960.0
620,2023-09-07,45700_PE,169.0
621,2023-09-08,45700_PE,2591.0
622,2023-09-11,45700_PE,43957.0
623,2023-09-12,45700_PE,230049.0
624,2023-09-13,45700_PE,1051435.0
625,2023-09-07,45800_CE,41544.0
626,2023-09-08,45800_CE,101006.0
627,2023-09-11,45800_CE,179462.0
628,2023-09-12,45800_CE,351444.0
629,2023-09-13,45800_CE,1517969.0
630,2023-09-07,45800_PE,113.0
631,2023-09-08,45800_PE,1428.0
632,2023-09-11,45800_PE,20319.0
633,2023-09-12,45800_PE,152350.0
634,2023-09-13,45800_PE,1259539.0
635,2023-09-07,45900_CE,29866.0
636,2023-09-08,45900_CE,70720.0
637,2023-09-11,45900_CE,131236.0
638,2023-09-12,45900_CE,275510.0
639,2023-09-13,45900_CE,2093568.0
640,2023-09-07,45900_PE,87.0
641,2023-09-08,45900_PE,642.0
642,2023-09-11,45900_PE,6520.0
643,2023-09-12,45900_PE,70943.0
644,2023-09-13,45900_PE,1649523.0
645,2023-09-07,46000_CE,74023.0
646,2023-09-08,46000_CE,159463.0
647,2023-09-11,46000_CE,172771.0
648,2023-09-12,46000_CE,307913.0
649,2023-09-13,46000_CE,2449581.0
650,2023-09-07,46000_PE,173.0
651,2023-09-08,46000_PE,1989.0
652,2023-09-11,46000_PE,6994.0
653,2023-09-12,46000_PE,54449.0
654,2023-09-13,46000_PE,688069.0
