day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,entry_time_read
2022-10-17,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1665979440,1665979560,17112.25,17137.35,-25.1,-0.0,Monday,1,17078.0255,17129.36225,10,1,-1,0,1665979440,True,0,-0.36,0,-0.31,-0.5,GAP_DOWN,1,0,12.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.15,0.66,-1,0.0,0.39,0.16,0.45,0.0,-1,0.0123,1.08,0,0,0,0,0,2022-10-17 09:34:00
2022-10-14,NIFTY,CDLXSIDEGAP3METHODS_BUY_5_10,SIG_1,1,1,1665720540,1665721140,17284.25,17287.25,3.0,0.0,Friday,1,17318.8185,17266.96575,10,1,0,0,1665720540,True,0,-0.02,0,0.05,-0.25,GAP_UP,1,0,-15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.16,0.45,-1,0.98,0.36,0.06,0.58,0.84,1,0.0,-0.19,0,1,1,1,1,2022-10-14 09:39:00
2022-10-12,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1665548040,1665548640,17063.65,17061.9,1.75,-0.0,Wednesday,1,17029.5227,17080.713649999998,10,1,0,0,1665548040,True,0,0.41,0,0.38,0.5,BELOW_VA,1,0,-36.349999999998545,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0.93,-1,0.63,0.14,0.13,0.73,0.91,1,0.0,-1.33,1,1,1,1,1,2022-10-12 09:44:00
2022-10-07,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1665116040,1665116640,17258.65,17301.0,42.35,-0.0,Friday,1,17293.1673,17241.39135,10,1,1,0,1665116040,True,0,-0.19,0,-0.12,-0.38,GAP_DOWN,1,0,-41.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.44,0.52,-1,0.0,0.18,0.05,0.77,0.0,1,0.0053,0.5,0,0,0,0,0,2022-10-07 09:44:00
2022-10-03,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1664769540,1664769660,17038.4,17057.15,-18.75,0.0,Monday,1,17004.323200000003,17055.4384,10,1,-1,0,1664769540,True,0,0.0,0,0.0,0.0,INSIDE_VA,1,0,38.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.17,0.72,1,0.54,0.23,0.14,0.63,1.0,-1,0.0,1.55,1,1,1,1,1,2022-10-03 09:29:00
2022-10-03,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1664769840,1664770260,17018.4,16981.45,36.95,0.0,Monday,1,16984.3632,17035.4184,10,1,1,0,1664769840,True,0,-0.08,0,-0.06,-0.12,INSIDE_VA,1,0,18.400000000001455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11,0.17,0.72,1,0.54,0.23,0.14,0.63,1.0,-1,0.0,1.55,1,1,1,1,1,2022-10-03 09:34:00
2022-09-30,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1664510940,1664511420,16794.65,16831.0,36.35,-0.0,Friday,1,16828.2393,16777.85535,10,1,1,0,1664510940,True,0,0.1,0,0.05,0.25,INSIDE_VA,1,0,-5.349999999998545,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.14,0.63,-1,0.87,0.03,0.77,0.2,0.95,-1,0.0,-0.66,1,1,1,1,1,2022-09-30 09:39:00
2022-09-30,NIFTY,CDL3OUTSIDE_BUY_5_10,SIG_1,1,1,1664511240,1664511840,16819.45,16810.6,-8.85,-0.0,Friday,1,16853.088900000002,16802.63055,10,1,0,0,1664511240,True,0,0.19,0,0.17,0.25,INSIDE_VA,1,0,19.450000000000728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.14,0.63,-1,0.87,0.03,0.77,0.2,0.95,-1,0.0,-0.66,1,1,1,1,1,2022-09-30 09:44:00
2022-09-29,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1664424840,1664425440,17003.0,16993.8,9.2,0.0,Thursday,1,16968.994,17020.002999999997,10,1,0,0,1664424840,True,0,0.06,0,0.08,0.0,INSIDE_VA,1,0,3.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.77,0.2,-1,0.44,0.42,0.28,0.3,0.41,-1,-0.0042,-1.16,0,1,1,0,1,2022-09-29 09:44:00
2022-09-28,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1664338140,1664338380,16906.1,16885.7,-20.4,0.0,Wednesday,1,16939.9122,16889.1939,10,1,-1,0,1664338140,True,0,0.35,0,0.3,0.5,GAP_DOWN,1,0,6.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,2022-09-28 09:39:00
